Station Code,Latitude,Longitude,Start,End,Data Center(s)
M008,34.73261,-2.79734,2007-11-09,2010-10-21,ORFEUS
M010,34.20615,-6.33529,2007-11-14,2009-11-27,ORFEUS
M011,34.01663,-5.47214,2007-11-23,2010-06-01,ORFEUS
M012,34.73006,-5.43427,2007-11-12,2009-09-26,ORFEUS
M013,34.61033,-4.41459,2007-11-11,2011-10-15,ORFEUS
M014,33.93965,-3.83716,2007-11-09,2010-05-30,ORFEUS
M015,33.98453,-3.03503,2007-11-08,2010-05-30,ORFEUS
M016,34.37858,-2.15656,2007-11-08,2010-05-30,ORFEUS
M017,33.69881,-5.9906,2007-11-28,2011-06-02,ORFEUS
M018,33.62285,-4.44854,2007-11-10,2011-06-01,ORFEUS
M019,31.93773,-4.45623,2008-02-29,2014-02-05,ORFEUS
M201,33.273411,-6.166739,2010-07-06,2011-12-17,ORFEUS
M202,32.92218,-5.513684,2010-07-01,2013-11-23,ORFEUS
M203,32.150406,-5.63101,2010-07-07,2013-11-23,ORFEUS
M204,30.864603,-9.047147,2010-07-29,2013-12-25,ORFEUS
M205,32.376896,-6.319063,2011-04-02,2014-02-05,ORFEUS
M206,32.801315,-6.57821,2010-07-08,2013-11-21,ORFEUS
M207,31.187525,-8.062423,2010-07-28,2013-11-21,ORFEUS
M208,29.578123,-10.032167,2011-01-27,2013-08-15,ORFEUS
M210,32.354267,-4.082016,2010-08-01,2012-04-19,ORFEUS
M211,30.922541,-7.24542,2010-07-31,2013-11-22,ORFEUS
M212,33.363907,-6.667953,2010-10-09,2013-11-21,ORFEUS
M213,32.21339,-8.554559,2012-02-09,2013-11-22,ORFEUS
M214,31.822237,-6.679138,2010-07-09,2013-11-22,ORFEUS
M215,32.046501,-7.449135,2010-07-09,2013-11-21,ORFEUS
M216,34.842419,-3.407344,2010-05-31,2011-10-22,ORFEUS
M217,31.671852,-4.98305,2011-06-07,2013-03-10,ORFEUS
M218,31.547239,-5.551305,2011-06-07,2013-11-22,ORFEUS
M301,32.472717,-7.856446,2012-02-04,2013-06-19,ORFEUS
M310,31.239412,-6.094783,2012-04-22,2013-11-22,ORFEUS
M316,31.801966,-8.63844,2012-02-03,2013-11-22,ORFEUS
NKM,35.4476,-5.41042,2008-01-31,2010-06-24,ORFEUS
RBA,34.007175,-6.83901,2013-04-09,2013-11-25,ORFEUS
REAL,36.48518,-5.20782,2007-02-20,2008-02-13,ORFEUS
TAF,34.81004,-2.41161,2007-11-08,2014-01-24,ORFEUS
